,PRICE,description_produit,nom_produit,type_produit,type_produit_traite
17,"4,75 € ","                        Ce macérât associe les propriétés nourrissantes de l’huile de Ricin aux vertus des plantes ayurvédiques de Brahmi et de Bhringaraj. Idéal pour composer vos soins capillaires, il est traditionnellement utilisé pour apporter force et brillance aux cheveux et stimuler leur pousse.                    ",                            Brahmi & Bhringaraj BIO                        ,                        Macérât huileux                    ,macérât huileux
18,"1,50 € ","                        Recommandé pour les peaux sensibles et rugueuses, ce macérât de fleurs de Calendula, apaisant et revitalisant est l'ingrédient parfait pour prendre soin des peaux sujettes à inconfort ou tiraillements.                    ",                            Calendula BIO                        ,                        Macérât huileux                    ,macérât huileux
19,"1,50 € ","                        Riche en provitamine A, ce macérât favorise le bronzage et le hâle de la peau. Il est conseillé comme ingrédient pour préparer des soins après-soleil ou bonne mine pour assouplir la peau et conserver un joli teint uniforme.                    ",                            Carotte BIO                        ,                        Macérât huileux                    ,macérât huileux
20,"1,50 € ","                        Connue pour ses propriétés anti-âge et protectrices et alternative moins onéreuse à l'huile de Figue de Barbarie, ce macérât revitalisant s'utilise dans vos préparations pour prévenir les signes de l'âge et la déshydratation cutanée.                    ",                            Figuier de Barbarie BIO                        ,                        Macérât huileux                    ,macérât huileux
21,"1,25 € ","                        Traditionnellement connu pour ses propriétés éclaircissantes et protectrices, ce macérât de fleurs de Lys est employé pour préparer des soins pour peaux fragiles. Il préviendrait l'apparition des taches brunes.                    ",                            Lys BIO                        ,                        Macérât huileux                    ,macérât huileux
22,"1,50 € ","                        Le Millepertuis est une plante réputée en cas de douleurs et irritations cutanées. Apaisant et restructurant, ce macérât huileux est utilisé pour préparer des soins pour calmer les peaux tiraillées ou des huiles de massage apaisantes.                    ",                            Millepertuis BIO                        ,                        Macérât huileux                    ,macérât huileux
23,"1,50 € ",                        Ce macérât de fleurs de Tiaré protège la peau et raffermit et lisse les tissus cutanés. Son toucher pénétrant le rend agréable dans vos préparations cosmétiques tant pour la peau que pour les cheveux auxquels il apporte force et brillance.                    ,                            Monoï BIO                        ,                        Macérât huileux                    ,macérât huileux
24,"3,95 € ","                        Réputé pour ses vertus raffermissantes, ce macérât préparé à partir de fleurs de pâquerettes fraîches récoltées en France fait merveille dans les soins du buste et pour aider à préserver la tonicité des peaux matures.                    ",                            Pâquerettes de France BIO                        ,                        Macérât huileux                    ,macérât huileux
25,"1,75 € ","                        Issue de la macération de gousses de Vanille, cette huile possède une senteur puissante et suave qui lui vaut sa réputation d'aphrodisiaque. Protectrice et nourrissante, elle s'emploie à merveille pour préparer des huiles de massage.                    ",                            Vanille BIO                        ,                        Macérât huileux                    ,macérât huileux
26,"4,95 € ","                        Cette huile extraite par CO2 supercritique est particulièrement concentrée en acide punicique, connu pour ses propriétés apaisantes puissantes. C'est un actif précieux pour préparer des soins pour peaux sensibles et des soins anti-âge.                    ",                            Grenade BIO                        ,                        Extrait CO2                    ,extrait co2
27,"3,95 € ","                        Extraite des noyaux d'abricot, cette huile est connue pour ses effets anti-âge et assouplissant. Elle donne une bonne mine et constitue un excellent ingrédient pour préparer des mélanges d'huiles essentielles ou des huiles de massage.                    ",                            Abricot                        ,                        Huile végétale                    ,huile végétale
28,"1,50 € ","                        Extraite des noyaux d'abricot, cette huile est connue pour ses effets anti-âge et assouplissants. Elle donne une bonne mine et constitue un excellent ingrédient pour préparer des mélanges d'huiles essentielles ou des huiles de massage.                    ",                            Abricot BIO                        ,                        Huile végétale                    ,huile végétale
29,"1,50 € ","                        Innovante de par les textures lisses et pénétrantes qu'elle permet d'obtenir, cette huile est intéressante pour la formulation de maquillage. Dans vos soins capillaires maison, elle apporte éclat et douceur aux cheveux les plus secs et crépus.                    ",                            Abyssinie                        ,                        Huile végétale                    ,huile végétale
30,"3,95 € ","                        Issue du fruit d'açaï, cette huile est réputée pour ses vertus anti-âge exceptionnelles. Grâce à sa richesse en polyphénols, elle sera un allié précieux pour préparer des soins pour peaux matures, sensibles ou stressées.                    ",                            Açaï d'Amazonie BIO                        ,                        Huile végétale                    ,huile végétale
31,"1,60 € ",                        L'huile d'Amande douce est depuis longtemps utilisée pour ses actions apaisante et adoucissante sur les peaux délicates et sèches. Elle s'utilise pour préparer des soins nourrissants et assouplissants pour tous types de peaux.                    ,                            Amande douce BIO                        ,                        Huile végétale                    ,huile végétale
32,"3,95 € ","                        Riche en limonoïdes, cette huile s'utilise à merveille dans la préparation d'huiles de massage pour le confort des sportifs. C'est également un actif de choix pour prendre soin des peaux squameuses ou à tendance atopique.                    ",                            Andiroba BIO                        ,                        Huile végétale                    ,huile végétale
33,"1,95 € ","                        Originaire du Maroc, cette huile, riche en vitamine E et en insaponifiables, est réputée pour ses propriétés nourrissantes et restructurantes. Sa teneur en antioxydants en fait un actif idéal pour les peaux sèches, matures et dénutries.                    ",                            Argan BIO                        ,                        Huile végétale                    ,huile végétale
34,"5,75 € ","                        Riche en vitamine E, en caroténoïdes, en oméga-3 et oméga-6, et en phytostérols, cette huile est connue comme ingrédient bonne mine, anti-âge puissant, adoucissant et restructurant d'exception pour la peau.                    ",                            Argousier BIO                        ,                        Huile végétale                    ,huile végétale
35,"1,25 € ","                        Obtenue à partir de la pulpe d'avocat, cette huile est un excellent actif anti-âge, nourrissant, protecteur et restructurant. Elle fait merveille pour composer des soins pour peaux sèches ou matures mais aussi des soins capillaires.                    ",                            Avocat BIO                        ,                        Huile végétale                    ,huile végétale
36,"1,75 € ","                        Exceptionnellement riche en céramides et en phytostérols, cette huile est idéale pour formuler des soins hydratants et anti-âge. Apaisante, protectrice et adoucissante, c'est un ingrédient incontournable pour les peaux délicates.                    ",                            Avoine                        ,                        Huile végétale                    ,huile végétale
37,"3,95 € ","                        Fine et pénétrante, cette huile est un très bon support pour préparer des huiles de massage. Grâce à son pouvoir moussant une fois saponifiée, elle est aussi utilisée pour confectionner des savons en saponification à froid.                    ",                            Babassu                        ,                        Huile végétale                    ,huile végétale
38,"1,75 € ","                        Cette huile puissante et aromatique, aux propriétés purifiantes et restructurantes, s'utilise pour préparer des soins des peaux à imperfections et des cuirs chevelus à pellicules. Elle est indispensable pour réaliser vos savons ""d'Alep"".                    ",                            Baies de Laurier BIO                        ,                        Huile végétale                    ,huile végétale
39,"1,75 € ","                        Adoucissante et restructurante, cette huile de Baobab est un ingrédient efficace pour le soin des peaux tiraillées et sèches. Elle aide à prévenir les vergetures et est aussi réputée pour composer des soins pour les cheveux secs, crépus ou abîmés.                    ",                            Baobab BIO                        ,                        Huile végétale                    ,huile végétale
40,"1,75 € ","                        Reconnue pour ses propriétés revitalisantes et protectrices, cette huile de qualité est idéale pour préparer des soins anti-âge. Elle s'utilise aussi dans la composition de soins des ongles cassants, des cheveux secs et des vergetures.                    ",                            Bourrache BIO                        ,                        Huile végétale                    ,huile végétale
41,"1,75 € ","                        Idéale pour composer vos soins capillaires, son action gainante comparable aux silicones apporte aux cheveux douceur et brillance sans les alourdir ni les étouffer. Son effet lissant permet de contrôler les petites boucles et frisottis.                    ",                            Brocoli BIO                        ,                        Huile végétale                    ,huile végétale
42,"1,90 € ","                        Véritable concentré de caroténoïdes, cette huile est l'ingrédient idéal pour préparer et prolonger le bronzage. Emolliente, elle est dotée d'une couleur orangée qui illuminera votre teint et colorera vos préparations et vos savons.                    ",                            Buriti                        ,                        Huile végétale                    ,huile végétale
43,"1,60 € ","                        Riche en actifs apaisants puissants, cette huile est un ingrédient de choix pour les soins des peaux tiraillées ou sujettes aux rougeurs. Elle constitue également un support idéal pour préparer des huiles de massage ""jambes légères"".                    ",                            Calophylle Inophyle BIO                        ,                        Huile végétale                    ,huile végétale
44,"1,50 € ","                        Longtemps utilisée comme huile de beauté par les Japonaises, cette huile, protectrice et pénétrante, est idéale pour préparer des soins pour peaux sèches. Elle s'utilise aussi comme ingrédient fortifiant des cheveux et des ongles mous et cassants.                    ",                            Camélia BIO                        ,                        Huile végétale                    ,huile végétale
45,"4,95 € ","                        Riche en oméga-3, l'huile végétale de Cameline fait aujourd'hui office d'ingrédient noble dans la confection de soins anti-âge ou de soins apaisants et revitalisants pour les peaux  sensibles et à tendance atopique.                    ",                            Cameline BIO                        ,                        Huile végétale                    ,huile végétale
46,"5,90 € ","                        Aussi appelée huile de Ricin noir, cette huile est connue pour fortifier les cheveux, les protéger et favoriser leur pousse. Elle gaine et nourrit les cheveux, dessine les boucles, et lutte contre la casse. Incontournable pour réaliser des soins pour les cheveux frisés ou crépus !                    ",                            Carapate                        ,                        Huile végétale                    ,huile végétale
47,"4,60 € ","                        Connue pour assouplir et protéger la peau de la déshydratation, cette huile est l'ingrédient incontournable des soins pour peaux délicates. La présence d'actifs antioxydants lui procure une belle activité anti-âge.                    ",                            Carthame BIO                        ,                        Huile végétale                    ,huile végétale
48,"2,95 € ","                        Extraite des pépins de Cassis, cette huile est utilisée pour préparer des soins anti-âge pour ses effets restructurants et revitalisants ainsi que des soins pour peaux sensibles auxquelles elle procure soulagement et douceur.                    ",                            Cassis                        ,                        Huile végétale                    ,huile végétale
49,"1,20 € ","                        Douce et pénétrante, cette huile précieuse s'utilise dans vos recettes pour nourrir les peaux sèches et protéger de la déshydratation. Riche en vitamine E et phytostérols, c'est un actif idéal pour lutter contre les signes du vieillissement cutané.                    ",                            Cerise BIO                        ,                        Huile végétale                    ,huile végétale
50,"1,50 € ","                        Riche en oméga-6 et oméga-3, cette huile est connue pour redonner douceur et élasticité à la peau, revitaliser les peaux sèches et matures et lutter contre la déshydratation. Très pénétrante, c'est un ingrédient incontournable de vos cosmétiques.                    ",                            Chanvre BIO                        ,                        Huile végétale                    ,huile végétale
51,"1,75 € ","                        Cette huile est fabuleuse dans les préparations pour les peaux squameuses, à tendance atopique, ou à imperfections. Elle est aussi idéale pour lutter contre la cellulite, la chute des cheveux et les pellicules, et pour unifier le bronzage.                    ",                            Chaulmoogra                        ,                        Huile végétale                    ,huile végétale
52,"1,75 € ","                        Très appréciée pour ses propriétés protectrices, adoucissantes et émollientes sur la peau, cette huile à l'odeur paradisiaque, s'emploie aussi pour préparer des soins capillaires pour donner brillance et vigueur aux cheveux.                    ",                            Coco BIO                        ,                        Huile végétale                    ,huile végétale
53,"4,75 € ","                        Cette huile se caractérise par son odeur fraîche et verte et sa composition riche en phytostérols, en tocophérols et en oméga-6. Idéale pour préparer des soins hydratants, elle améliore l'élasticité cutanée et protège de la déshydratation.                    ",                            Concombre                        ,                        Huile végétale                    ,huile végétale
54,"10,95 € ","                        Cette huile, issue de la pulpe de noix de Coco BIO séchée, est très intéressante dans les formules de savons en saponification à froid de par sa richesse en acide laurique qui lui permet d'apporter un excellent pouvoir moussant.                    ",                            Coprah BIO                        ,                        Huile végétale                    ,huile végétale
55,"1,60 € ","                        Riche en acide linoléique, cette huile de Coton est appréciée dans les cosmétiques maison pour ses qualités adoucissantes et émollientes. Sa teneur en acides gras essentiels en fait un excellent ingrédient revitalisant pour la peau.                    ",                            Coton BIO                        ,                        Huile végétale                    ,huile végétale
56,"1,95 € ","                        Cette huile précieuse a un ratio très équilibré oméga-3/oméga-6 et une richesse exceptionnelle en antioxydants : tocophérols, phytostérols, vitamine A. Elle fait merveille pour préparer des soins anti-âge et pour peaux sensibles.                    ",                            Cranberry BIO                        ,                        Huile végétale                    ,huile végétale
57,"1,50 € ","                        Issue du commerce équitable, cette huile se caractérise par son fabuleux toucher sec et soyeux, très apprécié dans la composition de soins. Elle apporte une action nourrissante, hydratante et assouplissante, sans surgraisser la peau.                    ",                            Dattier du désert BIO                        ,                        Huile végétale                    ,huile végétale
58,"1,75 € ","                        Réputée pour fortifier les cheveux et stimuler leur pousse, l'huile de Fenugrec est idéale pour préparer des bains d’huile capillaires ou des huiles de friction du cuir chevelu. Elle est également utilisée comme actif raffermissant et galbant pour composer des soins du buste.                    ",                            Fenugrec BIO                        ,                        Huile végétale                    ,huile végétale
59,"5,95 € ","                        Sa richesse en vitamine E, en oméga-6 et en stérols fait de cette huile précieuse un ingrédient exceptionnel pour lutter contre les signes du vieillissement cutané. Elle fait merveille pour maintenir la tonicité de la peau.                    ",                            Figue de Barbarie BIO                        ,                        Huile végétale                    ,huile végétale
60,"1,90 € ","                        Riche en vitamine E et en caroténoïdes, cette huile est un actif idéal pour lutter contre les signes du vieillissement de la peau. Restructurante et apaisante, elle s'incorpore parfaitement dans les préparations pour les peaux délicates.                    ",                            Framboise                        ,                        Huile végétale                    ,huile végétale
61,"8,90 € ","                        Gorgée d'antioxydants, cette huile précieuse obtenue par pression à froid fait merveille pour composer des soins anti-âge. Riche en caroténoïdes, elle prépare au bronzage et illumine le teint. Sa teneur en oméga-3 est idéale pour apaiser les peaux sensibles.                    ",                            Framboise BIO                        ,                        Huile végétale                    ,huile végétale
62,"1,50 € ","                        Utilisée pour préparer vos soins, elle revitalise et nourrit la peau et les cheveux fins ou secs sans les graisser grâce à une texture fine et sèche. Son odeur, sauvage de prime abord, laisse place à une note fraîche de fruit de la passion.                    ",                            Fruit de la passion BIO                        ,                        Huile végétale                    ,huile végétale
63,"1,50 € ","                        Source d'antioxydants puissants, cette huile est un ingrédient redoutable pour lutter contre les signes du vieillissement de la peau. Elle est précieuse pour composer des soins pour les peaux sèches, desquamées ou tiraillées.                    ",                            Germes de blé                        ,                        Huile végétale                    ,huile végétale
64,"1,75 € ","                        Très riche en vitamine E, cette huile au toucher doux et pénétrant fait merveille dans vos préparations de soins anti-âge et hydratants. Elle nourrit et répare les peaux desséchées et s'utilise aussi comme actif pour embellir les cheveux.                    ",                            Hibiscus BIO                        ,                        Huile végétale                    ,huile végétale
65,"3,50 € ","                        L'Inca Inchi fait partie des huiles les plus riches en oméga-3, mais est également riche en oméga-6 et -9. Fabuleuse pour protéger, assouplir et restructurer la peau, son toucher sec la rend très agréable dans vos cosmétiques ""maison"".                    ",                            Inca Inchi BIO                        ,                        Huile végétale                    ,huile végétale
66,"1,60 € ","                        Régulatrice, cette huile est un ingrédient apprécié pour son toucher pénétrant qui ne laisse pas de film gras. Elle protège la peau de la déshydratation et est idéale comme support pour créer des huiles de massage et des soins démaquillants.                    ",                            Jojoba BIO                        ,                        Huile végétale                    ,huile végétale
67,"1,75 € ","                        Originaire d'Inde, l'huile de Karanja BIO est riche en pongamol et en actifs assainissants. Emolliente, cette huile puissante est appréciée dans la composition de soins anti-âge et de soins capillaires pour protéger la couleur.                    ",                            Karanja BIO                        ,                        Huile végétale                    ,huile végétale
68,"1,75 € ","                        Cette huile est réputée pour calmer les peaux sensibles et squameuses et utile pour préparer des soins pour les pieds et mains desséchés. Très pénétrante, elle constitue un excellent actif  pour les cheveux secs et fragilisés.                    ",                            Kukui                        ,                        Huile végétale                    ,huile végétale
69,"4,75 € ","                        Puissante et aromatique, cette huile rare apaise et répare les peaux sèches ou sujettes aux rougeurs et calme les petits problèmes de peau. Riche en actifs toniques et décongestionnants, c’est aussi une alliée de choix pour des jambes légères ou pour stimuler le cuir chevelu.                    ",                            Lentisque de Kabylie                        ,                        Huile végétale                    ,huile végétale
70,"3,95 € ","                        Nourrissante, protectrice et adoucissante, cette huile s'utilise dans la préparation de soins pour peaux sèches et pour prévenir les vergetures. Elle pénètre sans laisser de gras, ce qui en fait un ingrédient idéal pour les huiles de massage.                    ",                            Macadamia                        ,                        Huile végétale                    ,huile végétale
71,"1,50 € ","                        Nourrissante, protectrice et adoucissante, cette huile s'utilise pour préparer des soins pour peaux sèches et pour prévenir les vergetures. Elle pénètre sans laisser de gras, ce qui en fait un ingrédient idéal pour les huiles de massage.                    ",                            Macadamia BIO                        ,                        Huile végétale                    ,huile végétale
72,"1,75 € ","                        Riche en caroténoïdes, cette huile est connue pour son action anti-âge exceptionnelle. C'est l'actif idéal pour nourrir les peaux sèches, sensibles ou marquées, lutter contre les rides et prendre soin des peaux à vergetures et cicatrices.                    ",                            Marula BIO                        ,                        Huile végétale                    ,huile végétale
73,"1,90 € ","                        Equilibrante et émolliente, cette huile a un toucher pénétrant et non gras. Revitalisante, elle redonne fermeté et élasticité à la peau, ce qui la rend idéale pour préparer aussi bien des soins que des huiles de massage.                    ",                            Melon d'eau du Kalahari                        ,                        Huile végétale                    ,huile végétale
74,"1,75 € ","                        Ce beurre au toucher velouté est un merveilleux actif pour le soin des peaux et cheveux secs. Riche en antioxydants et en phytostérols, il apporte une action nourrissante et restructurante à vos préparations, et prévient les signes de l'âge.                    ",                            Karité brut BIO                        ,                        Beurre végétal                    ,beurre végétal
75,"7,95 € ",                        Ce beurre est un régal pour les peaux sèches comme ingrédient nourrissant et revitalisant. Il permet de bénéficier des bienfaits de l'huile d'Avocat BIO et de sa richesse en phytostérols avec une texture riche et crémeuse pour vos formules.                    ,                            Karité brut BIO                        ,                        Beurre végétal                    ,beurre végétal
76,"1,75 € ",                        Ce beurre jaune pâle à la délicate odeur chocolatée est une alternative plus neutre à notre beurre de Cacao brut. Il permet de profiter des bienfaits de ce beurre nourrissant et riche en insaponifiables sans colorer vos formules.                    ,                            Karité brut BIO                        ,                        Beurre végétal                    ,beurre végétal
77,"1,50 € ","                        L'action combinée des phytostérols et des polyphénols donne à ce beurre une action préventive sur les signes de l'âge. Grâce à ses propriétés repulpantes et apaisantes, il donnera une texture onctueuse et fondante à vos préparations.                    ",                            Karité brut BIO                        ,                        Beurre végétal                    ,beurre végétal
78,"2,95 € ","                        Qualité désodorisée. Riche et nourrissant, ce beurre est indispensable dans vos soins maison : il protège, adoucit et restructure les peaux abîmées. Incorporé à vos préparations capillaires, il nourrit et redonne brillance et beauté aux cheveux.                    ",                            Karité brut BIO                        ,                        Beurre végétal                    ,beurre végétal
79,"1,50 € ","                        Qualité brute. Très riche en insaponifiables et vitamines, ce beurre est indispensable dans vos soins maison : il protège, adoucit et restructure les peaux abîmées. Incorporé à vos préparations capillaires, il nourrit et redonne brillance et beauté aux cheveux.                    ",                            Karité brut BIO                        ,                        Beurre végétal                    ,beurre végétal
80,"1,75 € ","                        Ce beurre onctueux permet de concocter des soins nourrissants et gourmands. Riche en insaponifiables, aux propriétés régénérantes et apaisantes exceptionnelles, il permet de lutter contre les signes de l'âge. Un vrai coup de coeur !                    ",                            Karité brut BIO                        ,                        Beurre végétal                    ,beurre végétal
81,"1,50 € ","                        Rare, ce beurre exotique permet d'obtenir aisément des textures fondantes agréables et possède d'excellentes qualités d'agent émollient. Incorporé dans vos préparations, il laisse la peau douce tout en ne laissant pas de film gras sur la peau.                    ",                            Karité brut BIO                        ,                        Beurre végétal                    ,beurre végétal
82,"3,75 € ","                        Très riche en actifs apaisants et régénérants, ce beurre africain puissant de couleur marron foncé s'utilise à faible dose dans la préparation de baumes et crèmes. Il est idéal pour les peaux à imperfections et le soin des vergetures.                    ",                            Karité brut BIO                        ,                        Beurre végétal                    ,beurre végétal
83,"1,90 € ","                        Très riche en phytostérols et à la texture douce, ce beurre africain rare est un ingrédient idéal pour créer des soins apaisants et restructurants. Il nourrit et apaise les peaux sèches et délicates, et prévient la formation de rides.                    ",                            Karité brut BIO                        ,                        Beurre végétal                    ,beurre végétal
84,"1,50 € ","                        Beurre indispensable connu pour ses propriétés nourrissantes et adoucissantes et très utilisé dans la préparation des soins capillaires, il apporte de la brillance aux cheveux et prévient la formation des fourches.                    ",                            Karité brut BIO                        ,                        Beurre végétal                    ,beurre végétal
85,"1,75 € ","                        Grâce à sa teneur en acide laurique, ce beurre fondant et pénétrant est apprécié pour la préparation de soins. Ayant une forte affinité pour les protéines du cheveu, c'est un actif incontournable pour nourrir les cheveux secs et abîmés.                    ",                            Karité brut BIO                        ,                        Beurre végétal                    ,beurre végétal
86,"7,90 € ","                        Préparé à partir d'huile d'Olive BIO non hydrogénée, ce beurre onctueux s'incorpore à merveille dans vos préparations de soins nourrissants. Très riche en insaponifiables, c'est un fabuleux agent réparateur, protecteur et adoucissant.                    ",                            Karité brut BIO                        ,                        Beurre végétal                    ,beurre végétal
87,"3,95 € ","                        Ce beurre nourrissant a la particularité de fondre très vite au contact de la peau, ce qui en fait un ingrédient de choix pour obtenir un toucher fondant pénétrant rapidement dans la peau. Il permet d'ajuster la texture des baumes.                    ",                            Karité brut BIO                        ,                        Beurre végétal                    ,beurre végétal
88,"3,75 € ","                        Emollient, ce beurre apporte un toucher douceur à la peau. Riche en caroténoïdes, il est idéal comme ingrédient de crèmes ou baumes avant et après-soleil. Il apportera à la peau protection contre la déshydratation et prolongera son hâle.                    ",                            Karité brut BIO                        ,                        Beurre végétal                    ,beurre végétal
89,"9,99 â‚¬","
Le Balancing Moisturizer est un soin hydratant à rincer de la gamme ApHogee. 
Il facilitera le démêlage et la réhydratation de vos cheveux après le lavage. Grâce à sa formule exclusive en PropHytamine il procurera à vos cheveux les émollients, protéines et humectants dont ils ont besoin. 
ApHogee Balancing Moisturizer est excellent, particulièrement recommandé pour les cheveux traités chimiquement tels que défrisés car il aide à bien les renforcer.
Contenance = 237ml
",ApHogee,ApHogee - Balancing Moisturizer (AprÃ¨s-shampoing Ã  rincer hydratant) - 237ml,shampoing
90,"14,99 â‚¬","
Le Balancing Moisturizer et un soin hydratant hydratant de la gamme ApHogee.
Il facilitera le démêlage et la réhydratation de vos cheveux après le lavage. Grâce à son concept exclusif PropHytamine il procurera à vos cheveux les émollients, protéines et humectants dont ils ont besoin.
ApHogee Balancing Moisturizer est un excellent soin hydratant. Il est particulièrement recommandé pour les cheveux traités chimiquement tels que défrisés car il aide à bien les renforcer.
Contenance = 473ml
",ApHogee,ApHogee - Balancing Moisturizer (AprÃ¨s-shampoing Ã  rincer hydratant) - 473ml,shampoing
91,"11,99 â‚¬","
Le shampooing hydratant de la gamme ApHogee Deep Moisture Shampoo a été spécialement conçu pour les cheveux secs.
Sa formule riche en humectants va aider vos cheveux à maintenir leur hydratation. Avec ce shampoing, vos cheveux retrouveront leur douceur et leur brillance.
Deep Moisture Shampoo de ApHogee a été spécialement formulé afin de maintenir l’équilibre naturel de vos cheveux. Il est particulièrement recommandé pour les cheveux secs car ces derniers ont un besoin important d’hydratation mais aussi de nutrition.
Contenance = 473ml
",ApHogee,ApHogee - Deep Moisture Shampoo (Shampoing hydratant),shampoing
92,"11,99 â‚¬","
Ce traitement réparateur est un concentré d’acides aminés de kératine, d’huiles botaniques et de vitamines qui vont redonner force et douceur aux cheveux nécessitant un traitement profond et pénétrant.
Keratin 2 Minute Reconstructor d’ApHogee donne immédiatement un coup de boost à vos cheveux !
Ce traitement reconstructeur doit son action efficace face au manque d’élasticité et de souplesse de vos cheveux secs et fragilisés. Le soin pénètre instantanément le cheveu pour réparer les traumatismes subis : défrisages, permanentes, colorations, excès de chaleur / lissages.
Contenance = 237 ml
",ApHogee,ApHogee - Keratin 2 Minute Reconstructor (Reconstructeur intensif) - 237ml,reconstructeur intensif
